,ann_id,u_id
0,0b5b53d0-9cc3-42dc-be86-c44c60d83dd6,"[(1,)]"
0,7a78640d-83de-4ec7-9396-19e4009757e3,"[(1,)]"
0,9debd6a1-69cb-433d-89e9-81b9fb3f8114,"[(1,)]"
0,f02717a9-593f-4ba9-8d94-f7b50b4cdffb,"[(1,)]"
0,79ed8515-6092-4b7d-a684-d6989f804575,"[(1,)]"
0,d1c51675-4c3b-4882-b167-162511bea348,"[(1,)]"
0,8da13c60-912b-40ae-88cb-c0030d9e213a,"[(1,)]"
0,64dd43ee-b9ce-4780-9379-74cb69d41eb4,"[(1,)]"
0,39734ada-365c-4950-a098-87eba7b9acc2,"[(1,)]"
0,83b9d0ea-41d6-4663-a2ab-648371e448b5,"[(1,)]"
0,8e9470d7-7abd-44c9-a290-08de745125c1,"[(1,)]"
0,6e940c72-25cc-4ee4-a209-fe162d4a66c2,"[(1,)]"
0,b3b8e5f4-2bcc-497c-83cb-6228c9a81a1e,"[(1,)]"
0,923d8d7e-935a-45ac-9979-c4580a410094,"[(1,)]"
0,32732c1a-81a9-496b-9242-9f75288fe6db,"[(1,)]"
0,da9a331c-9f1f-471a-b1e5-9e94a2bd018f,"[(1,)]"
0,b5bd171d-53a0-4f20-b54f-660c15ec43d9,"[(1,)]"
0,95cd08b3-6157-44a1-a87f-8f6cb16b0bdc,"[(1,)]"
0,2066f17a-4f02-4e93-922e-21d1c70679dd,"[(1,)]"
0,1116e996-d4f0-4347-954c-73820491312e,"[(1,)]"
0,cc9fac5e-7b67-47b1-89c2-e466cc2a6c06,"[(1,)]"
0,57977917-053a-4730-a7fe-48d5a5d2e330,"[(1,)]"
0,09baaeed-1403-43b2-b0f8-1349594f1e8a,"[(1,)]"
0,61622490-a770-46f4-a13d-9027fb6259c3,"[(1,)]"
0,5142cee6-259a-4c29-9b3b-4419058e57b7,"[(1,)]"
0,a03b108c-6949-4d07-b043-29d014cb9e61,"[(1,)]"
0,459f7f28-f57d-4d96-b988-6463b705ad15,"[(1,)]"
0,777c0974-6c01-49e3-8d59-351e5aebacf9,"[(1,)]"
0,9120dc66-c7c0-488b-9728-a60db2da2464,"[(1,)]"
0,306e1302-bfc4-488b-8fb6-44be308fbc4e,"[(1,)]"
0,42aee253-44cb-458e-9f82-d4d9feccc185,"[(1,)]"
0,469f17cc-1342-44cc-8cda-1d4488f84cbf,"[(1,)]"
0,56f2679a-931a-4437-89c5-d3b0ed679f31,"[(1,)]"
0,8143366e-07d6-48fd-a2b6-aea29f7c9356,"[(1,)]"
0,717319b4-f8ad-4240-b274-5dadd15e2d8f,"[(1,)]"
0,255fcec4-0b14-4d43-a131-2a520d04d124,"[(1,)]"
0,fe78c86b-c412-4423-9f19-e117d4f74652,"[(1,)]"
0,23a7f3f5-c847-45fa-8b11-2d6a26c80e1b,"[(1,)]"
0,46b7d1cd-f04a-4d3e-9a5e-eee2cfda46d4,"[(1,)]"
0,400d88b5-5ab6-4ca9-a75f-a1c8098c04b6,"[(1,)]"
0,b266ac5e-828f-4fc6-ab9d-76b922789164,"[(1,)]"
0,1b3f7209-30ed-4f1b-8ac0-60cedd9b0e96,"[(1,)]"
0,cde38cda-6c00-4bd9-8a86-f857beb142d7,"[(1,)]"
0,b179b106-20be-4446-8f13-3ab0d9274e6f,"[(1,)]"
0,e83a0253-1be0-4c9e-bd8d-011dc3f2e522,"[(1,)]"
0,611b124d-623f-417d-8326-8aba3ec27cb2,"[(1,)]"
0,1c7e936b-80b5-4850-aa23-b6fceb01d79b,"[(1,)]"
0,fb88ff8a-99e0-4d70-a0f5-b038f1cd13c5,"[(1,)]"
0,726061d3-7dff-49d7-b998-d8761541b978,"[(1,)]"
0,c0740dc0-e47d-4d84-bc59-dd76b2aff5b1,"[(1,)]"
0,90527d6f-c898-4bf2-bca5-6dd7454e2bb5,"[(1,)]"
0,6ede4c90-09c3-49b4-b1f4-5508cc8f21d0,"[(1,)]"
0,a396e85c-789e-429b-a768-337131016080,"[(1,)]"
0,e17df164-849a-40e8-a98b-807d6da1318a,"[(1,)]"
0,d3fb8e6d-f735-413b-ab21-e270e55418e0,"[(1,)]"
0,945d7284-904e-4d3a-a77d-90645b6d9a0a,"[(1,)]"
0,f577ffdb-c10d-4ff1-817b-eb8474aa779a,"[(1,)]"
0,6f44acb9-a744-492f-a2ae-5cd0224c1eb7,"[(1,)]"
0,b7e00236-c746-44b9-85eb-88b4da097ed7,"[(1,)]"
0,23e3f5f3-5c1f-4d8c-890e-d6bf2e8e4e50,"[(1,)]"
0,fb267348-e83c-4274-90f7-02a8d3d7298c,"[(1,)]"
0,651ab237-964e-4fa8-9f39-d6839f0e4a29,"[(1,)]"
0,bf9ebc97-d308-4ab4-8236-93ad176ba0a4,"[(1,)]"
0,9781b958-aad0-4e38-9afb-42e9d81fd012,"[(1,)]"
0,8c7f8311-cf16-406d-91ed-4c9a0962c651,"[(1,)]"
0,4b6b462a-ed9e-473e-8245-f8e29574f50d,"[(1,)]"
0,66113dbf-22e1-4f4d-9d19-8c2df97b7336,"[(1,)]"
0,b8ca3dbb-4e20-4750-a4a4-26ee30c76842,"[(1,)]"
0,64d9a74e-bdcb-4641-8c66-2506627232de,"[(1,)]"
0,22ee4513-d989-4b3d-85a0-89c3b9fdef2d,"[(1,)]"
0,a5a5f51a-d099-40d6-844c-2f3219c5167c,"[(1,)]"
0,860d4bf7-f4bb-4c59-89b1-361d9530be22,"[(1,)]"
0,02c011ae-b7bf-4332-a921-e26fec9e0e98,"[(1,)]"
0,0061d912-f228-41a2-abcf-2aba6432f98c,"[(1,)]"
0,7ebfe2aa-8de1-4bbc-ac39-4227f8a03894,"[(1,)]"
0,9fbe8d85-70c2-40de-8a58-01327e7d5eb0,"[(1,)]"
0,d084e030-a04f-4d26-9930-aa067091d4ab,"[(1,)]"
0,38fa95ec-ed5d-4d25-aad8-49b010d8d8f8,"[(1,)]"
0,0f7784b3-5dbf-4de5-89b5-03e0e24d0ecc,"[(1,)]"
0,1097eeee-c892-4790-b47b-5f9a41803b5d,"[(1,)]"
0,7306f4e1-ee08-4c38-b9c9-1b7ddcec426d,"[(1,)]"
0,a97ea9f6-a1b6-40d5-a8dd-152be301f2d5,"[(1,)]"
0,6e3bd8fe-385d-4182-b912-54487ee6e32e,"[(1,)]"
0,79aae231-980b-4d70-9616-8e7ef91268a5,"[(1,)]"
0,d280d124-f4de-4741-b4c8-cf70852d7a17,"[(1,)]"
